Time (ms),Engagement (%)
77,0
109,0
155,0
202,0
245,0
292,0
340,0
385,1
433,1
479,1
525,1
567,1
619,2
666,2
718,2
765,2
812,2
850,3
890,3
933,3
978,3
1029,3
1075,3
1114,4
1153,4
1199,4
1242,4
1288,4
1318,4
1350,5
1383,6
1412,6
1445,6
1496,6
1542,6
1586,6
1633,7
1682,7
1726,7
1760,8
1807,8
1851,8
1900,9
1957,9
1988,9
2024,9
2071,9
2115,10
2146,10
2191,10
2222,10
2254,10
2285,10
2330,11
2363,11
2393,11
2424,11
2471,11
2501,11
2532,12
2563,12
2592,12
2623,12
2656,12
2705,13
2745,13
2800,13
2847,13
2894,13
2930,13
2986,14
3027,14
3080,14
3127,15
3175,15
3209,15
3250,15
3296,15
3337,16
3382,16
3413,17
3468,18
3514,18
3559,18
3608,18
3653,19
3695,19
3748,19
3786,20
3821,20
3863,20
3904,20
3951,21
3996,21
4043,21
4090,21
4136,21
4184,21
4230,21
4275,21
4324,21
4370,21
4414,21
4462,21
4507,21
4554,21
4601,21
4647,21
4693,21
4724,21
4771,21
4818,21
4864,21
4910,21
4957,21
4988,21
5019,21
5065,21
5095,21
5126,21
5156,21
5203,21
5250,21
5282,21
5328,21
5374,21
5420,21
5466,21
5513,21
5560,21
5611,21
5658,21
5704,21
5752,21
5799,21
5845,21
5893,21
5938,21
5984,21
6032,21
6078,21
6127,21
6173,21
6219,21
6267,21
6313,21
6361,21
6406,21
6452,21
6498,21
6545,21
6593,21
6638,21
6685,21
6731,21
6777,21
6824,21
6870,21
6916,21
6962,21
7024,21
7071,21
7117,21
7163,21
7210,21
7256,21
7302,21
7348,21
7396,21
7443,21
7488,21
7520,21
7567,21
7613,21
7661,21
7707,21
7753,21
7800,21
7846,22
7876,22
7906,23
7938,23
7968,23
7999,23
8031,23
8063,23
8098,23
8144,23
8191,23
8238,23
8270,23
8316,23
8364,23
8395,23
8440,23
8487,23
8534,23
8581,23
8627,23
8673,23
8720,23
8767,23
8815,23
8862,23
8907,23
8953,23
8999,23
9047,23
9094,23
9140,23
9187,23
9232,23
9279,23
9325,23
9373,23
9419,23
9467,23
9514,23
9561,23
9606,23
9653,23
9699,23
9744,23
9790,23
9836,23
9882,23
9929,23
9977,23
10023,23
10069,23
10115,23
10163,23
10210,23
10256,23
10302,23
10350,23
10396,23
10441,23
10489,23
10535,23
10580,23
10626,23
10656,23
10688,23
10725,23
10755,23
10786,23
10818,23
10849,23
10881,23
10912,23
10959,23
10989,23
11021,23
11053,23
11084,23
11116,23
11147,23
11177,23
11208,23
11239,23
11270,23
11301,23
11333,23
11365,23
11396,23
11427,23
11459,23
11488,24
11520,24
11552,25
11584,25
11616,25
11646,25
11693,26
11723,26
11756,26
11816,27
11862,27
11909,27
11955,27
11989,27
12032,27
12067,27
12124,28
12161,28
12211,28
12258,28
12307,29
12359,29
12402,29
12450,29
12490,30
12544,30
12591,30
12639,30
12686,30
12732,30
12778,30
12824,30
12871,30
12917,30
12965,30
12977,30
13018,30
13049,30
13104,30
13151,30
13194,31
13241,32
13289,35
13335,37
13381,39
13430,40
13474,41
13523,41
13571,41
13614,42
13662,43
13708,43
13755,43
13802,43
13849,43
13896,43
13943,43
13988,43
14036,42
14082,42
14129,42
14177,42
14222,42
14270,42
14315,42
14364,42
14410,42
14457,42
14505,42
14552,42
14597,42
14643,42
14690,42
14736,42
14784,42
14831,42
14878,42
14923,42
14970,42
15002,42
15049,42
15096,42
15140,42
15171,42
15202,42
15241,42
15272,42
15303,42
15350,42
15381,42
15412,42
15444,42
15475,42
15506,42
15537,42
15585,42
15631,42
15680,42
15726,42
15774,42
15819,42
15866,42
15913,42
15959,42
15991,42
16022,42
16068,42
16100,42
16131,42
16162,42
16208,42
16238,42
16270,42
16317,42
16348,42
16394,42
16423,42
16456,42
16486,42
16517,42
16549,42
16581,42
16613,42
16659,42
16705,42
16737,42
16783,42
16815,42
16860,42
16891,42
16922,42
16954,42
16985,42
17032,42
17079,42
17111,42
17157,42
17203,42
17242,42
17272,42
17321,42
17366,42
17397,42
17427,42
17459,42
17490,42
17520,42
17563,42
17605,42
17660,43
17707,43
17752,43
17800,43
17848,43
17894,43
17940,43
17987,43
18034,43
18079,43
18127,43
18172,43
18220,43
18267,43
18314,43
18362,43
18407,43
18455,43
18502,43
18547,43
18595,43
18642,43
18689,43
18722,43
18767,43
18815,43
18847,43
18877,43
18909,43
18940,43
18987,43
19035,43
19082,43
19128,43
19175,43
19205,42
19235,42
19266,42
19297,42
19344,42
19391,42
19424,42
19453,42
19485,42
19515,42
19562,42
19608,42
19661,42
19707,42
19754,42
19801,42
19847,42
19894,42
19941,42
19988,42
20035,42
20082,42
20129,42
20175,42
20224,42
20268,42
20314,42
20362,42
20408,42
20455,42
20502,42
20549,42
20595,42
20640,42
20689,42
20735,42
20782,42
20829,42
20876,42
20922,42
20970,42
21017,42
21063,42
21110,42
21155,42
21201,42
21249,42
21296,42
21343,42
21390,42
21436,42
21483,42
21529,42
21575,42
21620,42
21666,42
21713,42
21761,42
21807,42
21854,42
21901,42
21948,42
21995,42
22042,42
22090,42
22135,42
22181,42
22228,42
22273,42
22319,42
22366,42
