Time (ms),Engagement (%)
0,0
45,0
52,1
97,1
114,2
145,2
178,3
208,4
242,5
273,5
321,6
369,7
416,8
457,9
493,9
539,9
602,9
650,9
699,10
746,10
785,11
819,11
850,11
880,11
911,11
942,11
973,11
1005,11
1034,11
1066,11
1096,11
1128,11
1160,11
1191,11
1222,11
1252,11
1299,11
1345,11
1391,11
1438,11
1484,11
1530,11
1570,11
1617,12
1666,12
1715,12
1762,12
1823,12
1870,12
1931,12
1979,12
2025,12
2075,13
2113,13
2145,13
2179,13
2209,13
2241,13
2292,14
2338,14
2379,14
2412,14
2441,15
2474,15
2506,15
2553,15
2587,15
2630,15
2658,15
2706,15
2738,15
2770,15
2816,16
2848,16
2878,16
2911,16
2941,16
2987,16
3034,16
3080,16
3121,16
3173,16
3220,16
3268,16
3314,16
3347,16
3377,16
3425,16
3470,16
3518,16
3564,16
3610,16
3655,16
3702,16
3749,16
3795,16
3842,16
3888,16
3933,16
3980,16
4026,16
4071,16
4149,16
4197,16
4203,16
4250,16
4296,16
4342,16
4390,16
4428,17
4482,18
4529,18
4577,18
4624,18
4664,18
4715,18
4760,18
4809,18
4848,19
4886,19
4932,19
4979,19
5025,19
5066,19
5100,19
5132,20
5179,20
5241,20
5289,20
5335,20
5382,20
5441,20
5473,20
5519,21
5566,21
5598,21
5628,21
5659,21
5692,21
5729,21
5777,22
5829,22
5874,22
5912,22
5968,22
6015,22
6062,22
6100,22
6129,23
6171,23
6218,23
6266,23
6311,23
6359,23
6403,23
6450,23
6496,23
6543,23
6588,23
6634,23
6682,23
6727,23
6775,23
6819,23
6865,23
6911,23
6943,23
6974,23
7020,23
7050,23
7081,23
7112,23
7144,23
7189,23
7235,23
7284,23
7329,23
7377,23
7423,23
7469,23
7515,23
7562,23
7607,23
7654,23
7700,23
7746,23
7793,23
7835,23
7886,23
7929,23
7979,23
8027,24
8073,24
8119,24
8164,24
8211,24
8258,24
8304,24
8335,24
8380,24
8428,24
8475,24
8521,24
8568,24
8600,24
8631,24
8662,24
8693,24
8726,24
8772,24
8819,24
8851,24
8895,24
8928,24
8958,24
9004,24
9036,24
9066,24
9114,24
9175,24
9221,24
9267,24
9316,24
9364,24
9408,24
9454,24
9501,24
9548,24
9594,24
9640,24
9687,24
9734,24
9781,24
9827,24
9873,24
9920,24
9965,24
10013,24
10059,24
10102,24
10155,24
10200,24
10247,24
10294,24
10338,24
10386,24
10433,25
10479,25
10525,25
10572,25
10616,25
10664,25
10709,25
10757,25
10804,25
10850,25
10897,25
10942,25
10973,25
11003,25
11049,25
11096,25
11142,25
11188,25
11234,25
11282,25
11328,25
11374,25
11422,25
11468,25
11515,25
11561,25
11608,25
11654,25
11699,25
11748,25
11794,25
11840,25
11888,25
11936,25
11983,25
12030,25
12076,25
12123,25
12169,25
12216,25
12262,25
12322,25
12369,25
12418,25
12465,25
12511,25
12557,25
12605,25
12651,25
12696,25
12742,25
12789,25
12835,25
12882,25
12929,25
12977,25
13023,25
13068,25
13116,25
13161,25
13193,25
13241,25
13270,25
13307,25
13348,25
13379,25
13410,25
13456,25
13488,25
13519,25
13551,25
13583,25
13613,25
13659,25
13691,25
13736,24
13783,24
13830,24
13878,24
13925,24
13970,24
14016,24
14062,24
14104,24
14155,24
14202,24
14250,24
14296,24
14340,24
14386,24
14435,24
14480,24
14527,24
14575,24
14621,24
14668,24
14713,24
14759,24
14820,24
14867,24
14912,24
14960,24
15007,24
15054,24
15116,24
15162,24
15209,24
15241,24
15288,24
15335,24
15366,24
15410,24
15442,24
15472,24
15503,24
15535,24
15566,24
15597,24
15629,24
15661,24
15692,24
15725,24
15755,24
15802,24
15846,24
15879,24
15909,24
15941,24
15972,24
16035,24
16080,24
16115,25
16160,25
16203,25
16250,25
16296,25
16345,25
16391,25
16436,25
16482,25
16528,25
16575,25
16622,25
16669,25
16715,25
16762,25
16809,25
16855,25
16903,25
16947,25
16994,25
17041,25
17088,25
17166,25
17213,25
17260,25
17306,25
17355,25
17401,25
17447,25
17494,25
17541,25
17588,25
17636,25
17680,25
17729,25
17775,25
17822,25
17869,25
17914,25
17961,25
18007,25
18055,25
18104,25
18149,25
18196,25
18242,25
18289,26
18351,26
18396,26
18426,26
18474,26
18506,26
18553,26
18583,26
18614,26
18644,26
18676,26
18707,26
18755,26
18785,26
18830,26
18893,26
18938,26
18987,26
19034,26
19080,26
19126,26
19173,26
19221,26
19267,26
19313,26
19359,26
19405,26
19454,26
19500,26
19546,26
19591,26
19637,26
19682,26
19729,26
19774,26
19821,26
19868,26
19913,26
19959,26
20006,26
20037,26
20073,27
20113,28
20145,29
20176,30
20226,31
20273,32
20332,33
20362,33
20394,34
20425,34
20464,34
20514,35
20560,35
20611,35
20657,35
20704,35
20750,35
20798,35
20845,35
20884,35
20938,36
20983,36
21032,36
21077,36
21125,36
21170,36
21216,36
21280,36
21324,36
21372,37
21411,37
21464,37
21510,37
21557,37
21603,37
21665,37
21712,38
21758,38
21804,38
21851,38
21898,38
21943,38
21976,38
22021,38
22051,38
22082,38
22113,38
22144,38
22190,38
22236,38
22282,38
22329,38
22376,38
22422,38
22469,38
22516,38
22561,38
22608,38
22653,38
22701,38
22747,38
22794,38
22841,38
22887,38
22937,37
22977,37
23025,37
23073,37
23117,37
23162,37
23210,37
23257,37
23305,37
23352,37
23397,37
23444,37
23492,37
23539,37
23585,37
23632,37
23677,37
23725,37
23770,37
23818,37
23847,37
23909,37
23955,37
24003,37
24048,37
24096,37
24142,37
24188,37
24236,37
24281,37
24329,37
24376,37
24422,37
24469,37
24517,37
24563,37
24611,37
24659,38
24698,38
24751,38
24796,38
24844,38
24890,38
24937,38
24983,38
25030,38
25077,38
25117,38
25171,38
25219,38
25266,38
25312,38
25358,38
25405,38
25452,38
25499,38
25547,38
25595,38
25641,38
25689,38
25736,38
25781,38
25828,38
25874,38
25920,38
25965,38
26012,38
26061,38
26106,38
26153,38
26199,38
26247,38
26290,38
26336,38
26383,38
26430,38
26477,38
26523,38
26567,38
26598,38
26630,38
26678,38
26724,38
26773,38
26819,38
26864,38
26896,38
26927,38
26957,38
26988,38
27019,38
27051,38
27081,38
27122,38
27174,38
27220,38
27267,38
27314,38
27359,38
27407,38
27453,38
27499,38
27547,38
27591,38
27653,38
27700,38
27747,38
27794,38
27840,38
27888,38
27933,38
27981,38
28028,38
28073,38
28114,38
