Time (ms),Engagement (%)
0,0
38,0
39,0
67,0
101,0
122,0
151,0
183,0
212,0
243,0
290,0
324,1
356,1
391,1
442,1
486,2
535,2
578,2
618,2
651,2
698,3
740,3
778,3
826,4
865,4
908,4
954,4
993,5
1040,5
1083,5
1121,6
1162,6
1200,6
1239,6
1284,6
1329,7
1379,7
1425,7
1471,8
1517,8
1563,8
1608,8
1640,8
1687,8
1713,8
1751,8
1794,9
1843,9
1874,9
1935,9
1969,9
2012,9
2043,10
2075,10
2106,10
2138,10
2168,10
2199,10
2230,10
2277,10
2306,10
2341,10
2389,11
2433,11
2463,11
2493,12
2525,12
2558,12
2589,12
2621,13
2681,13
2724,13
2771,13
2819,13
2851,13
2890,13
2933,14
2986,14
3034,14
3080,14
3121,14
3171,14
3217,14
3263,14
3315,14
3362,15
3407,15
3456,15
3502,15
3543,15
3581,15
3629,15
3680,15
3719,16
3768,16
3817,16
3863,16
3910,16
3955,16
4001,16
4049,16
4096,16
4157,16
4192,17
4226,17
4252,17
4283,17
4329,17
4374,17
4422,17
4468,17
4512,17
4559,17
4606,17
4653,17
4699,17
4747,17
4795,17
4840,17
4886,17
4927,17
4985,17
5032,17
5080,17
5128,17
5174,17
5221,17
5267,17
5313,17
5359,17
5407,17
5453,17
5498,17
5543,17
5590,18
5637,18
5686,18
5746,18
5793,18
5840,18
5885,18
5932,18
5980,18
6026,18
6069,18
6116,20
6163,21
6213,22
6262,23
6302,23
6350,24
6396,25
6429,25
6477,25
6522,25
6569,25
6615,25
6662,25
6707,25
6738,25
6770,26
6819,27
6877,27
6922,27
6970,27
7016,27
7063,27
7125,27
7172,27
7220,27
7265,27
7312,27
7359,27
7401,27
7449,26
7489,26
7537,26
7607,26
7653,26
7687,27
7720,28
7777,29
7818,29
7863,30
7917,30
7965,30
8012,30
8060,30
8106,30
8154,30
8201,30
8247,30
8293,30
8340,30
8387,30
8434,30
8480,30
8527,30
8578,30
8624,30
8671,30
8717,30
8765,30
8812,30
8854,30
8921,30
8966,30
9005,31
9045,31
9092,31
9140,31
9182,32
9237,32
9282,33
9325,33
9372,33
9413,34
9466,34
9513,34
9576,34
9624,34
9670,34
9709,35
9741,35
9773,35
9821,36
9870,36
9918,36
9961,36
9993,36
10040,36
10086,36
10135,36
10176,36
10211,36
10259,36
10304,36
10351,36
10381,36
10427,36
10458,36
10489,36
10518,36
10549,36
10581,36
10626,36
10671,36
10718,36
10764,36
10812,36
10848,36
10899,35
10952,35
10998,35
11045,35
11090,35
11138,35
